Gene	kME	GS	Score
bgh06162	0.963528594270377	0.936471006186531	0.902316592165874
bgh03249	0.873625618000513	0.963814927551656	0.842013411720435
bgh00192	0.947253251351253	0.850722500244826	0.805849654354578
bgh00323	0.839869351771516	0.891306078650881	0.748580658506527
bgh00083	0.818189118170579	0.905171169257358	0.740601200768109
bgh01711	0.797945168209847	0.883234670715224	0.704772837892628
bgh00608	0.880668653254596	0.788218357188552	0.694159199095792
bgh03838	0.956352854086673	0.712596397544174	0.681493598603252
bgh04794	0.732954999410767	0.923208367956418	0.676670188791512
bgh01068	0.929567547898206	0.716927240308131	0.666432296794658
bgh05177	0.947708081154918	0.700624975438818	0.663987951082334
bghG007324000001001	0.769383322611388	0.858665051161717	0.66064257007308
bgh02896	0.905221318875209	0.721164655639883	0.65281362070452
bgh03176	0.906459854801279	0.711227724091231	0.644699379510381
bgh00222	0.705185889971582	0.912972513650467	0.643815334558197
bghG002346000002001	0.649704813775989	0.98595470732066	0.64057951951133
bgh04330	0.878078871379251	0.728515088895228	0.639693707039877
bgh04899	0.823578305247657	0.752960974662596	0.620122323430245
bgh03495	0.806871163221922	0.760887942550632	0.613938539287364
bgh00025	0.738131016817954	0.827037509370449	0.610462037738198
