"Gene","kME","GS","Score"
"bgh06162",0.963528594270377,0.936471006186531,0.902316592165874
"bgh03249",0.873625618000513,0.963814927551656,0.842013411720435
"bgh00192",0.947253251351253,0.850722500244826,0.805849654354578
"bgh00323",0.839869351771516,0.891306078650881,0.748580658506527
"bgh00083",0.818189118170579,0.905171169257358,0.740601200768109
"bgh01711",0.797945168209847,0.883234670715224,0.704772837892628
"bgh00608",0.880668653254596,0.788218357188552,0.694159199095792
"bgh03838",0.956352854086673,0.712596397544174,0.681493598603252
"bgh04794",0.732954999410767,0.923208367956418,0.676670188791512
"bgh01068",0.929567547898206,0.716927240308131,0.666432296794658
"bgh05177",0.947708081154918,0.700624975438818,0.663987951082334
"bghG007324000001001",0.769383322611388,0.858665051161717,0.66064257007308
"bgh02896",0.905221318875209,0.721164655639883,0.65281362070452
"bgh03176",0.906459854801279,0.711227724091231,0.644699379510381
"bgh00222",0.705185889971582,0.912972513650467,0.643815334558197
"bghG002346000002001",0.649704813775989,0.98595470732066,0.64057951951133
"bgh04330",0.878078871379251,0.728515088895228,0.639693707039877
"bgh04899",0.823578305247657,0.752960974662596,0.620122323430245
"bgh03495",0.806871163221922,0.760887942550632,0.613938539287364
"bgh00025",0.738131016817954,0.827037509370449,0.610462037738198
"bgh02742",0.88685176264915,0.682408296057031,0.605195000204581
"bgh03108",0.642098114710892,0.914414839226494,0.587144044330995
"bgh06132",0.651008520445698,0.884661466818246,0.575922152608668
"bgh02574",0.891912459237938,0.640773751948862,0.57151409291583
"bgh03603",0.648136885213281,0.869191963486761,0.563355371866725
"bgh03553",0.92880992646427,0.594747873706365,0.552407728841989
"bgh06079",0.671927776974481,0.8071526228078,0.542348267522366
"bgh03184",0.862050872172323,0.616193600817523,0.53119023101175
"bgh02072",0.875516057854482,0.603588098127024,0.528451072240056
"bgh02973",0.769521326850355,0.677669265967322,0.521480952712879
"bghG007129000001001",0.800016478354086,0.648443107929774,0.518765171618956
"bgh02617",0.95399425432469,0.537580251665659,0.512848471327459
"bgh02088",0.670408324598975,0.764968260203331,0.512841089694308
"bgh01413",0.752258071068599,0.681515415473241,0.512675471847415
"bgh01312",0.773509098577935,0.648440329241289,0.501574494553009
"bgh05596",0.802658352733142,0.604877826154556,0.48551023954602
"bgh00003",0.911294193756445,0.522170844494957,0.475851258737154
"bgh04203",0.890164174825801,0.534446342888503,0.475744987806011
"bgh03563",0.906062903599669,0.518919105505135,0.470173351467326
"bgh04939",0.687567913017747,0.676333363711753,0.465025119391563
"bgh03478",0.728291669548141,0.622322378298808,0.453232203888409
"bgh04208",0.536100787556921,0.842883639150861,0.45187058276762
"bgh06790",0.772501538651878,0.580775191806445,0.448649729281318
"bgh04207",0.85520601143537,0.513611216757055,0.439243400111268
"bgh02823",0.57227910457491,0.743283289944013,0.425365495614653
"bgh06827",0.713358640487399,0.527694432514515,0.376435382971324
"bgh05049",0.820043695288724,0.416012945188455,0.341148792860286
"bgh00716",0.530981421309736,0.584602800949827,0.310413226149992
