"","B12","K1","time","Interaction"
"MEblack",-0.00763957694631098,-0.102389193558209,-0.967365191443507,-0.0783591926067867
"MEblue",0.0165248100002764,-0.0952557315624441,-0.758191308611837,-0.0481567887002719
"MEbrown",0.00095752416071977,0.0138212546086327,-0.168128424013443,0.00397793173750512
"MEgreen",0.0111362461134914,0.0304289403319174,0.970522657107267,0.0335668732811096
"MEmagenta",0.0663341499654566,0.0524473865682865,0.128289533854337,0.0942557161567881
"MEpink",0.0216379584292278,-0.0145090486999705,-0.742304144657051,-0.00335248368560002
"MEpurple",0.100914641968819,0.909787233493279,0.327097374348492,0.616947881955657
"MEred",0.0163823758647404,0.0979256799137962,0.623518704757737,0.0850586067684874
"MEturquoise",-0.0577895983128374,-0.0946723625930025,0.587544487462137,-0.110162265079505
"MEyellow",0.0204618420808535,-0.010854904739857,-0.150646341367543,0.0236652449331638
