"","B12","K1","time","Interaction"
"MEblack",0.958899952040845,0.488624902015991,4.52909175370178e-29,0.596532718146283
"MEblue",0.911238161593676,0.519561229989521,4.34845867490415e-10,0.745155323776737
"MEbrown",0.994846459562195,0.92571549180934,0.253338836173577,0.978592507582881
"MEgreen",0.940117096839288,0.837331303787708,4.51069763129279e-30,0.820819006511277
"MEmagenta",0.654184863573734,0.72331509337053,0.384854946778622,0.52397481325162
"MEpink",0.883939123133007,0.922029964606783,1.55541467785514e-09,0.981957789458788
"MEpurple",0.494939951134035,3.47708799396385e-19,0.0232510922783969,3.01443532125791e-06
"MEred",0.912000216019385,0.50786896115182,2.20148109832544e-06,0.565417919518014
"MEturquoise",0.696425208603283,0.522133681728225,1.13174668800804e-05,0.456041320122751
"MEyellow",0.890207766474713,0.94162730626312,0.306760085744954,0.873150471275073
