"Gene","Module"
"bgh04079","green"
"bgh01634","yellow"
"bghG000012000001001","blue"
"bgh00757","turquoise"
"bgh01273","brown"
"bgh01274","turquoise"
"bgh01277","blue"
"bgh06140","brown"
"bgh05774","turquoise"
"bgh06453","turquoise"
"bghG000024000001001","brown"
"bgh04206","brown"
"bghG000026000002001","green"
"bghG000026000001001","brown"
"bgh02510","brown"
"bgh01272","brown"
"bgh01275","turquoise"
"bghG000032000001001","red"
"bghG000032000002001","red"
"bgh01566","turquoise"
"bghG000039000001001","brown"
"bgh03284","yellow"
"bgh02728","brown"
"bgh03073","yellow"
"bghG000048000001001","blue"
"bgh01267","blue"
"bgh05930","brown"
"bgh02515","blue"
"bgh03538","blue"
"bgh03649","blue"
"bgh02080","turquoise"
"bgh01265","turquoise"
"bgh06488","yellow"
"bgh06523","blue"
"bgh02331","blue"
"bgh01260","red"
"bgh02511","green"
"bgh05625","blue"
"bgh02512","red"
"bgh05128","yellow"
"bgh05308","blue"
"bgh05923","turquoise"
"bgh02514","turquoise"
"bgh01261","turquoise"
"bgh01262","green"
"bgh01264","turquoise"
"bgh02081","turquoise"
"bgh06080","turquoise"
"bghG000052000001001","turquoise"
"bgh02943","blue"
"bghG000059000001001","brown"
"bgh03461","turquoise"
"bgh03465","brown"
"bgh04900","brown"
"bghG000061000001001","red"
"bghG000061000002001","green"
"bgh03463","green"
"bgh05554","red"
"bghG000062000001001","turquoise"
"bgh03701","yellow"
"bgh04936","turquoise"
"bgh06599","brown"
"bgh00228","blue"
"bgh03145","blue"
"bgh03219","turquoise"
"bgh03220","blue"
"bgh00227","brown"
"bgh01952","yellow"
"bgh03809","red"
"bgh00811","turquoise"
"bgh01797","brown"
"bghG000071000001001","green"
"bgh00899","green"
"bgh00563","blue"
"bgh00562","yellow"
"bgh02803","red"
"bgh03666","turquoise"
"bgh03929","brown"
"bgh00021","turquoise"
"bgh02849","turquoise"
"bgh02850","blue"
"bgh05883","blue"
"bghG000103000001001","turquoise"
"bgh00847","turquoise"
"bgh04841","brown"
"bgh04911","brown"
"bgh06304","yellow"
"bghG000107000002001","turquoise"
"bgh00380","brown"
"bgh04826","green"
"bgh04827","black"
"bghG000107000001001","turquoise"
"bgh03842","green"
"bghG000116000001001","green"
"bghG000122000001001","turquoise"
"bgh05109","blue"
"bgh03785","blue"
"bgh06244","brown"
"bghG000146000001001","brown"
"bgh02721","red"
"bgh06205","blue"
"bgh02733","turquoise"
"bgh05899","green"
"bgh06257","green"
"bgh02769","brown"
"bgh06061","red"
"bgh06703","blue"
"bgh02718","green"
"bgh03459","green"
"bgh03047","black"
"bgh00637","red"
"bgh06893","red"
"bgh03341","blue"
"bgh02731","blue"
"bgh03322","red"
"bgh01059","brown"
"bgh01060","turquoise"
"bgh01061","green"
"bgh05502","red"
"bgh06728","red"
"bgh03310","yellow"
"bgh03311","blue"
"bgh03323","brown"
"bgh03325","blue"
"bgh05388","green"
"bghG000183000001001","red"
"bgh05589","yellow"
"bgh05628","yellow"
"bgh00701","brown"
"bgh04750","turquoise"
"bgh00234","blue"
"bgh00235","brown"
"bgh04033","blue"
"bgh00692","pink"
"bgh01816","yellow"
"bgh01657","turquoise"
"bgh01822","turquoise"
"bgh06614","magenta"
"bgh02589","magenta"
"bgh00693","brown"
"bgh00700","turquoise"
"bgh04754","turquoise"
"bgh06697","blue"
"bgh00694","brown"
"bgh00695","turquoise"
"bgh06906","yellow"
"bgh00740","brown"
"bghG000207000001001","brown"
"bghG000207000002001","brown"
"bgh00343","yellow"
"bghG000209000002001","brown"
"bgh00605","green"
"bgh03920","turquoise"
"bghG000209000001001","yellow"
"bgh00704","turquoise"
"bghG000209000003001","blue"
"bgh04330","purple"
"bgh00699","brown"
"bgh06188","yellow"
"bgh04765","brown"
"bgh00293","magenta"
"bgh00582","black"
"bghG000218000001001","turquoise"
"bgh00572","red"
"bgh02328","brown"
"bgh02965","brown"
"bgh00342","turquoise"
"bgh03742","turquoise"
"bgh06635","brown"
"bgh06152","turquoise"
"bghG000243000001001","brown"
"bgh01102","red"
"bghG000244000001001","blue"
"bgh01940","turquoise"
"bgh01943","brown"
"bgh00855","yellow"
"bgh03632","blue"
"bgh03633","brown"
"bghG000245000001001","green"
"bghG000245000003001","red"
"bgh01942","blue"
"bgh03631","turquoise"
"bgh06251","blue"
"bgh01941","yellow"
"bgh00856","blue"
"bgh01755","turquoise"
"bgh02805","red"
"bgh03036","green"
"bgh05084","magenta"
"bghG000262000001001","turquoise"
"bgh03851","blue"
"bgh01732","turquoise"
"bgh00818","blue"
"bgh01729","yellow"
"bgh03288","turquoise"
"bgh02868","green"
"bgh03018","blue"
"bgh00996","yellow"
"bgh05986","green"
"bgh00550","brown"
"bgh00551","turquoise"
"bgh03011","red"
"bghG000277000001001","green"
"bgh02680","magenta"
"bghG000280000003001","green"
"bgh02309","yellow"
"bghG000280000001001","brown"
"bgh05153","yellow"
"bgh00773","red"
"bgh01897","yellow"
"bghG000281000001001","turquoise"
"bghG000281000003001","turquoise"
"bgh03287","blue"
"bghG000281000002001","brown"
"bgh02677","turquoise"
"bgh02770","turquoise"
"bgh03013","yellow"
"bgh03706","green"
"bgh03710","magenta"
"bgh06446","yellow"
"bgh02107","red"
"bgh06764","black"
"bgh02111","yellow"
"bgh02106","brown"
"bgh05090","yellow"
"bghG000305000001001","yellow"
"bgh05260","turquoise"
"bgh02109","green"
"bgh02710","blue"
"bgh06111","turquoise"
"bgh02105","brown"
"bgh02711","turquoise"
"bgh02108","brown"
"bgh02712","black"
"bgh02789","blue"
"bghG000309000001001","turquoise"
"bgh00187","turquoise"
"bghG000312000003001","turquoise"
"bgh02057","blue"
"bgh02058","blue"
"bgh02060","green"
"bghG000312000001001","turquoise"
"bgh03264","yellow"
"bgh05417","blue"
"bgh06018","black"
"bgh06377","turquoise"
"bgh06721","red"
"bghG000312000002001","brown"
"bgh02059","yellow"
"bgh02632","black"
"bghG000317000001001","blue"
"bgh05156","brown"
"bgh02613","brown"
"bgh00172","brown"
"bgh05782","turquoise"
"bgh00329","blue"
"bgh00146","red"
"bgh01968","blue"
"bgh03971","turquoise"
"bgh05045","blue"
"bghG000337000001001","green"
"bgh01969","green"
"bgh00356","blue"
"bgh03025","green"
"bgh01716","red"
"bgh00109","green"
"bgh00353","brown"
"bgh01967","brown"
"bgh00357","blue"
"bgh01670","red"
"bghG000345000001001","green"
"bgh06450","green"
"bghG000347000001001","green"
"bgh02524","brown"
"bghG000349000001001","green"
"bghG000349000003001","green"
"bgh00363","blue"
"bgh04881","green"
"bgh00577","turquoise"
"bgh02531","turquoise"
"bgh05043","black"
"bgh03090","pink"
"bgh00034","green"
"bgh01633","blue"
"bgh00352","blue"
"bghG000359000001001","green"
"bghG000359000002001","green"
